python_name,Type,acid_rich_pressure_high_Y0,acid_rich_pressure_high_Y1,acid_rich_pressure_high_Y2,acid_rich_pressure_high_Y3,acid_rich_pressure_high_Y4,acid_rich_pressure_high_Y5,acid_rich_pressure_high_Y6,acid_rich_pressure_high_Y7,acid_rich_pressure_high_Y8,acid_rich_pressure_high_Y9,acid_rich_pressure_high_Y10,acid_rich_pressure_high_Y11,acid_rich_pressure_high_Y12,acid_rich_pressure_high_Y13,acid_rich_pressure_high_Y14,acid_rich_pressure_high_Y15,acid_rich_pressure_high_Y16,acid_rich_pressure_high_Y17,acid_rich_pressure_high_Y18,acid_rich_pressure_high_Y19,acid_rich_pressure_high_Y20,acid_rich_pressure_high_Y21,acid_rich_pressure_high_Y22,acid_rich_pressure_high_Y23,acid_rich_pressure_high_Y24,acid_rich_pressure_high_Y25,acid_rich_pressure_high_Y26,acid_rich_pressure_high_Y27,acid_rich_pressure_high_Y28,acid_rich_pressure_high_Y29
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
res_press,float,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0,9000.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997,9.799999999999997
gas_comp_CO2,float,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gas_comp_C1,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gas_comp_H2,float,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
GOR,float,22888059.575244863,20599253.617720377,18539328.25594834,16685395.430353504,15016855.887318151,13515170.298586339,12163653.268727705,10947287.941854935,9852559.147669442,8867303.232902497,7980572.909612248,7182515.618651022,6464264.056785922,5817837.651107329,5236053.885996597,4712448.497396937,4241203.647657244,3817083.2828915194,3435374.954602367,3091837.459142131,2782653.7132279174,2504388.341905126,2253949.507714614,2028554.5569431526,1825699.1012488368,1643129.1911239533,1478816.272011558,1330934.644810402,1197841.180329362,1078057.062296426
WOR,float,8926.343234345497,8033.7089109109465,7230.338019819852,6507.304217837866,5856.573796054079,5270.916416448672,4743.824774803805,4269.442297323425,3842.4980675910824,3458.2482608319738,3112.4234347487763,2801.181091273899,2521.0629821465095,2268.956683931858,2042.0610155386728,1837.8549139848053,1654.069422586325,1488.6624803276925,1339.7962322949231,1205.816609065431,1085.2349481588878,976.7114533429991,879.0403080086994,791.1362772078295,712.0226494870464,640.8203845383417,576.7383460845076,519.0645114760569,467.15806032845114,420.4422542956061
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
