number,name
150,Fuel gas - Downhole pump
151,Fuel gas - Dehydrator
152,Fuel gas - AGR
153,Fuel gas - Demethanizer
154,Fuel gas - Lifting gas compressor
155,Fuel gas - Gas reinjection compressor
156,Fuel gas - Pre-membrane compressor
157,Fuel gas - Ryan-homes
158,Fuel gas - Sour gas reinjection
159,Fuel gas - CO2 reinjection compressor
160,Fuel gas - Dewatering
161,Fuel gas - Stabilizer
162,Fuel gas - Steam generation
163,Fuel gas - Water reinjection
164,Fuel gas - Heavy oil upgrading
165,Fuel gas - Gas flooding compressor
166,Fuel gas - VRU compressor
167,Fuel gas - Mining
168,Fuel gas - Crude oil transport
169,Fuel gas - Transmission compressor
170,Fuel gas - Storage compressor
171,Fuel gas - Post-storage compressor
172,Fuel gas - Liquefaction
173,Fuel gas - Regasification
174,Fuel gas - Onsite electricity generation
175,Electricity - Downhole pump
176,Electricity - Dehydrator
177,Electricity - AGR
178,Electricity - Lifting gas compressor
179,Electricity - Reinjection compressor
180,Electricity - Pre-membrane chiller
181,Electricity - Pre-membrane compressor
182,Electricity - Sour gas reinjection compressor
183,Electricity - CO2 reinjection compressor
184,Electricity - Crude oil dewatering
185,Electricity - Crude oil stabilization
186,Electricity - Produced water treatment
187,Electricity - Steam generation
188,Electricity - Makeup water treatment
189,Electricity - Water reinjection
190,Electricity - Heavy oil upgrading
191,Electricity - Gas flooding compressor
192,Electricity - VRU compressor
193,Electricity - Mining
194,Electricity - Crude oil transport
195,Electricity - Transmission compressor
196,Electricity - Storage compressor
197,Electricity - Post-storage compressor
198,Electricity cogenerated with steam
199,Electricity exports
200,Electricity - Demethanizer
201,Reserved-201
202,Reserved-202
203,Reserved-203
204,Reserved-204
205,Reserved-205
206,Reserved-206
207,Reserved-207
208,Reserved-208
209,Reserved-209
210,Petroleumn coke to stockpile/sequester
211,Petroleum coke to market
212,Reserved-212
213,Reserved-213
214,Reserved-214
215,Reserved-215
216,Reserved-216
217,Reserved-217
218,Reserved-218
219,Reserved-219
220,Reserved-220
221,Reserved-221
222,Reserved-222
223,Reserved-223
224,Reserved-224
225,Net imports for fuel gas
226,Net electricity imports
227,NGL imports for diluent
228,Reserved-228
229,Reserved-229
230,Reserved-230
231,Reserved-231
232,Reserved-232
233,Reserved-233
234,Reserved-234
235,Reserved-235
236,Reserved-236
237,Reserved-237
238,Reserved-238
239,Reserved-239
240,Reserved-240
241,Reserved-241
242,Reserved-242
243,Reserved-243
244,Reserved-244
245,Reserved-245
246,Reserved-246
247,Reserved-247
248,Reserved-248
249,Reserved-249
250,Fugitives - Wellhead
251,Fugitives - Separator
252,Purposeful venting
253,Fugitives - Misc.
254,Fugitives - Gathering
255,Venting - Dehydrator
256,Venting - AGR
257,Fugitives - Demethanizer
258,Fugitives - Lifting gas compressor
259,Fugitives - HC reinjection compressor
260,Fugitives - HC reinjection wells
261,Fugitives - Transmission compressor
262,Fugitives - Storage compressor
263,Fugitives - Storage wells
264,Fugitives - Storage separator
265,Fugitives - Post-storage compressor
266,Fugitives - Distribution step down
267,Fugitives - Metering and regulation
268,Fugitives - Distribution piping
269,Fugitives - Customer meter
270,Fugitives - End use appliances and equip.
271,Fugitives - Pre-membrane chiller
272,Fugitives - Pre-membrane compressor
273,Fugitives - Ryan-Holmes process
274,Fugitives - Sour gas compressor
275,Fugitives - Sour gas injection wells
276,Fugitives - CO2 reinjection compressor
277,Fugitives - CO2 reinjection wells
278,Fugitives - Gas flooding compressor
279,Vents - HC tanks
280,Fugitives - VRU compressor
281,Mine face fugitives
282,Liquefaction flaring and fugitives
283,Fugitives - Completions
284,Fugitives - Workovers
285,Fugitives - Stabilizer
286,Claus unit exhaust
287,On-site meter
288,On-site dehydrator
289,On-site reciprocating compressor
290,On-site heater
291,On-site header
292,Chemical injection pumps
293,Pneumatic controllers
294,Liquids unloadings
295,On-site tanks - leaks
296,On-site tanks - vents
297,HC Gas flood well fugitives
298,Reserved-298
299,Reserved-299
300,Reserved-300
