python_name,Type,koloma_simple_acid_gas_high_production_Y0,koloma_simple_acid_gas_high_production_Y1,koloma_simple_acid_gas_high_production_Y2,koloma_simple_acid_gas_high_production_Y3,koloma_simple_acid_gas_high_production_Y4,koloma_simple_acid_gas_high_production_Y5,koloma_simple_acid_gas_high_production_Y6,koloma_simple_acid_gas_high_production_Y7,koloma_simple_acid_gas_high_production_Y8,koloma_simple_acid_gas_high_production_Y9,koloma_simple_acid_gas_high_production_Y10,koloma_simple_acid_gas_high_production_Y11,koloma_simple_acid_gas_high_production_Y12,koloma_simple_acid_gas_high_production_Y13,koloma_simple_acid_gas_high_production_Y14,koloma_simple_acid_gas_high_production_Y15,koloma_simple_acid_gas_high_production_Y16,koloma_simple_acid_gas_high_production_Y17,koloma_simple_acid_gas_high_production_Y18,koloma_simple_acid_gas_high_production_Y19,koloma_simple_acid_gas_high_production_Y20,koloma_simple_acid_gas_high_production_Y21,koloma_simple_acid_gas_high_production_Y22,koloma_simple_acid_gas_high_production_Y23,koloma_simple_acid_gas_high_production_Y24,koloma_simple_acid_gas_high_production_Y25,koloma_simple_acid_gas_high_production_Y26,koloma_simple_acid_gas_high_production_Y27,koloma_simple_acid_gas_high_production_Y28,koloma_simple_acid_gas_high_production_Y29
gas_comp_H2S,float,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
gas_comp_H2,float,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
GOR,float,1287453351.1075234,1158708015.996771,1042837214.3970941,938553492.9573847,844698143.661646,760228329.2954816,684205496.3659333,615784946.7293401,554206452.0564061,498785806.85076547,448907226.16568893,404016503.54912,363614853.19420815,327253367.8747873,294528031.0873085,265075227.9785777,238567705.1807199,214710934.662648,193239841.19638315,173915857.07674485,156524271.36907038,140871844.23216334,126784659.80894703,114106193.82805231,102695574.44524707,92426017.00072238,83183415.30065013,74865073.77058512,67378566.39352661,60640709.75417396
WOR,float,553503.5666966203,498153.21002695826,448337.8890242625,403504.10012183624,363153.6901096525,326838.32109868736,294154.48898881854,264739.04008993675,238265.1360809431,214438.62247284877,192994.7602255639,173695.2842030075,156325.7557827068,140693.1802044361,126623.86218399247,113961.47596559324,102565.32836903392,92308.79553213055,83077.91597891747,74770.12438102574,67293.11194292318,60563.80074863085,54507.420673767774,49056.67860639099,44151.01074575189,39735.909671176705,35762.318704059035,32186.086833653128,28967.478150287818,26070.73033525904
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
