python_name,Type,H2_simple_water_inj_Y0,H2_simple_water_inj_Y1,H2_simple_water_inj_Y2,H2_simple_water_inj_Y3,H2_simple_water_inj_Y4,H2_simple_water_inj_Y5,H2_simple_water_inj_Y6,H2_simple_water_inj_Y7,H2_simple_water_inj_Y8,H2_simple_water_inj_Y9,H2_simple_water_inj_Y10,H2_simple_water_inj_Y11,H2_simple_water_inj_Y12,H2_simple_water_inj_Y13,H2_simple_water_inj_Y14,H2_simple_water_inj_Y15,H2_simple_water_inj_Y16,H2_simple_water_inj_Y17,H2_simple_water_inj_Y18,H2_simple_water_inj_Y19,H2_simple_water_inj_Y20,H2_simple_water_inj_Y21,H2_simple_water_inj_Y22,H2_simple_water_inj_Y23,H2_simple_water_inj_Y24,H2_simple_water_inj_Y25,H2_simple_water_inj_Y26,H2_simple_water_inj_Y27,H2_simple_water_inj_Y28,H2_simple_water_inj_Y29
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,H2_simple_water_inj_Y1,H2_simple_water_inj_Y2,H2_simple_water_inj_Y3,H2_simple_water_inj_Y4,H2_simple_water_inj_Y5,H2_simple_water_inj_Y6,H2_simple_water_inj_Y7,H2_simple_water_inj_Y8,H2_simple_water_inj_Y9,H2_simple_water_inj_Y10,H2_simple_water_inj_Y11,H2_simple_water_inj_Y12,H2_simple_water_inj_Y13,H2_simple_water_inj_Y14,H2_simple_water_inj_Y15,H2_simple_water_inj_Y16,H2_simple_water_inj_Y17,H2_simple_water_inj_Y18,H2_simple_water_inj_Y19,H2_simple_water_inj_Y20,H2_simple_water_inj_Y21,H2_simple_water_inj_Y22,H2_simple_water_inj_Y23,H2_simple_water_inj_Y24,H2_simple_water_inj_Y25,H2_simple_water_inj_Y26,H2_simple_water_inj_Y27,H2_simple_water_inj_Y28,H2_simple_water_inj_Y29,H2_simple_water_inj_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006,5.900000000000006
gas_comp_CO2,float,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
gas_comp_C1,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2,float,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
GOR,float,23889412.181661822,21500470.96349564,19350423.86714608,17415381.48043147,15673843.33238832,14106458.999149492,12695813.099234542,11426231.789311089,10283608.61037998,9255247.749341983,8329722.974407784,7496750.676967005,6747075.609270305,6072368.048343275,5465131.243508947,4918618.119158053,4426756.307242247,3984080.676518024,3585672.6088662203,3227105.347979599,2904394.813181639,2613955.331863475,2352559.7986771283,2117303.818809415,1905573.4369284734,1715016.0932356261,1543514.4839120638,1389163.0355208572,1250246.7319687717,1125222.0587718943
WOR,float,10270.566182037286,9243.509563833557,8319.158607450203,7487.242746705183,6738.518472034663,6064.6666248311985,5458.199962348079,4912.379966113271,4421.141969501944,3979.0277725517503,3581.1249952965745,3223.0124957669173,2900.7112461902257,2610.640121571203,2349.5761094140826,2114.6184984726747,1903.1566486254071,1712.840983762867,1541.5568853865798,1387.4011968479222,1248.66107716313,1123.7949694468168,1011.4154725021355,910.2739252519218,819.2465327267295,737.3218794540566,663.5896915086511,597.2307223577858,537.5076501220074,483.7568851098065
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
