python_name,Type,ch4_low_h2_low_P_low_EUR_05_Y0,ch4_low_h2_low_P_low_EUR_05_Y1,ch4_low_h2_low_P_low_EUR_05_Y2,ch4_low_h2_low_P_low_EUR_05_Y3,ch4_low_h2_low_P_low_EUR_05_Y4,ch4_low_h2_low_P_low_EUR_05_Y5,ch4_low_h2_low_P_low_EUR_05_Y6,ch4_low_h2_low_P_low_EUR_05_Y7,ch4_low_h2_low_P_low_EUR_05_Y8,ch4_low_h2_low_P_low_EUR_05_Y9,ch4_low_h2_low_P_low_EUR_05_Y10,ch4_low_h2_low_P_low_EUR_05_Y11,ch4_low_h2_low_P_low_EUR_05_Y12,ch4_low_h2_low_P_low_EUR_05_Y13,ch4_low_h2_low_P_low_EUR_05_Y14,ch4_low_h2_low_P_low_EUR_05_Y15,ch4_low_h2_low_P_low_EUR_05_Y16,ch4_low_h2_low_P_low_EUR_05_Y17,ch4_low_h2_low_P_low_EUR_05_Y18,ch4_low_h2_low_P_low_EUR_05_Y19,ch4_low_h2_low_P_low_EUR_05_Y20,ch4_low_h2_low_P_low_EUR_05_Y21,ch4_low_h2_low_P_low_EUR_05_Y22,ch4_low_h2_low_P_low_EUR_05_Y23,ch4_low_h2_low_P_low_EUR_05_Y24,ch4_low_h2_low_P_low_EUR_05_Y25,ch4_low_h2_low_P_low_EUR_05_Y26,ch4_low_h2_low_P_low_EUR_05_Y27,ch4_low_h2_low_P_low_EUR_05_Y28,ch4_low_h2_low_P_low_EUR_05_Y29
gas_lifting,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam_flooding,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country,str,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
name,str,ch4_low_h2_low_P_low_EUR_05_Y1,ch4_low_h2_low_P_low_EUR_05_Y2,ch4_low_h2_low_P_low_EUR_05_Y3,ch4_low_h2_low_P_low_EUR_05_Y4,ch4_low_h2_low_P_low_EUR_05_Y5,ch4_low_h2_low_P_low_EUR_05_Y6,ch4_low_h2_low_P_low_EUR_05_Y7,ch4_low_h2_low_P_low_EUR_05_Y8,ch4_low_h2_low_P_low_EUR_05_Y9,ch4_low_h2_low_P_low_EUR_05_Y10,ch4_low_h2_low_P_low_EUR_05_Y11,ch4_low_h2_low_P_low_EUR_05_Y12,ch4_low_h2_low_P_low_EUR_05_Y13,ch4_low_h2_low_P_low_EUR_05_Y14,ch4_low_h2_low_P_low_EUR_05_Y15,ch4_low_h2_low_P_low_EUR_05_Y16,ch4_low_h2_low_P_low_EUR_05_Y17,ch4_low_h2_low_P_low_EUR_05_Y18,ch4_low_h2_low_P_low_EUR_05_Y19,ch4_low_h2_low_P_low_EUR_05_Y20,ch4_low_h2_low_P_low_EUR_05_Y21,ch4_low_h2_low_P_low_EUR_05_Y22,ch4_low_h2_low_P_low_EUR_05_Y23,ch4_low_h2_low_P_low_EUR_05_Y24,ch4_low_h2_low_P_low_EUR_05_Y25,ch4_low_h2_low_P_low_EUR_05_Y26,ch4_low_h2_low_P_low_EUR_05_Y27,ch4_low_h2_low_P_low_EUR_05_Y28,ch4_low_h2_low_P_low_EUR_05_Y29,ch4_low_h2_low_P_low_EUR_05_Y30
age,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
depth,float,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
oil_prod,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
num_prod_wells,int,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
num_water_inj_wells,int,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
res_press,float,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
offshore,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_N2,float,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
gas_comp_CO2,float,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
gas_comp_C1,float,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
gas_comp_C2,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C3,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_C4,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2S,float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas_comp_H2,float,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
GOR,float,11444029.787622431,10299626.808860188,9269664.12797417,8342697.715176752,7508427.943659076,6757585.149293169,6081826.634363852,5473643.970927468,4926279.573834721,4433651.6164512485,3990286.454806124,3591257.809325511,3232132.028392961,2908918.8255536645,2618026.9429982984,2356224.2486984683,2120601.823828622,1908541.6414457597,1717687.4773011834,1545918.7295710654,1391326.8566139587,1252194.170952563,1126974.753857307,1014277.2784715763,912849.5506244184,821564.5955619767,739408.136005779,665467.322405201,598920.590164681,539028.531148213
WOR,float,4463.1716171727485,4016.8544554554733,3615.169009909926,3253.652108918933,2928.2868980270396,2635.458208224336,2371.9123874019024,2134.7211486617125,1921.2490337955412,1729.1241304159869,1556.2117173743882,1400.5905456369494,1260.5314910732548,1134.478341965929,1021.0305077693364,918.9274569924027,827.0347112931624,744.3312401638462,669.8981161474616,602.9083045327155,542.6174740794439,488.35572667149955,439.5201540043497,395.56813860391475,356.0113247435232,320.41019226917086,288.3691730422538,259.5322557380284,233.57903016422557,210.22112714780306
fraction_elec_onsite,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_remaining_gas_inj,float,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fraction_water_reinjected,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
frac_venting,float,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PsaPreCompressor.suction_pressure,float,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7
PsaPreCompressor.discharge_pressure,float,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7,464.7
PsaPreCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
PressureSwingAdsorption.flaring,int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slip_rate,float,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSA_waste_gas_P,float,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7,15.7
PSA_waste_gas_T,float,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
DownholePump.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
Separation.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasReinjectionCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
GasDehydration.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
AcidGasRemoval.prime_mover_type,str,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine,GAS_engine
SourGasCompressor.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
WaterInjection.prime_mover_type,str,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor,Electric_motor
